Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0016999999643303454 4.2426407e-05
GALEX:NUV 0.23119646641474512 0.0020050000166520476 2.828427e-05
SDSS:u' 0.3519021246126397 0.0014199999859556556 4.472136e-05
SDSS:g' 0.4819969420238593 0.0017333333380520344 0.00064039044
SDSS:r' 0.6246977662012919 0.014916667093833288 0.0011322985
SDSS:i' 0.7634912086792643 0.006033333328862985 0.0011020434
SDSS:z' 0.9017941824088558 0.00863999966531992 0.00013416407
SDSS:u 0.3519021246126397 0.0028699999675154686 2e-05
SDSS:g 0.48199694202385923 0.005900000222027302 2e-05
SDSS:r 0.6246977662012919 0.002319999970495701 3e-05
2MASS:J 1.239016606050587 0.020250000370045502 0.0017464247
2MASS:H 1.6494770729023385 0.029650000544885795 0.0037960506
2MASS:Ks 2.163785333814508 0.039890000224113466 0.0030446674
:=3.6um 3.599986286565157 0.061000000685453415 0.0061
WISE:W1 3.3500107051067163 0.06773999929428101 0.0030935418
WISE:W2 4.600019302768061 0.10005999952554703 0.0042095133
WISE:W3 11.559823320737253 0.2689999997615814 0.008944273
WISE:W4 22.090668189521775 0.7299999892711639 0.028
Herschel/PACS:70 69.99917297095358 1.4299999475479126 0.09
Herschel/PACS:160 160.0002444361424 2.369999885559082 0.19
:=250um 249.99371080720482 1.309999942779541 0.16
:=350um 349.99995096608495 0.6399999856948853 0.074
:=500um 499.99576043629816 0.17399999499320984 0.028
:=1.4GHz 214137.47 0.015133333392441273 0.0010099505
"2-10 keV (XMM)" 0.00020675341931034483 7.86e-07 3.45e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.69e-06 1.32e-07
"W1 (WISE)" 3.3533831991051453 0.068 0.0014044461541832067
"W2 (WISE)" 4.60510688172043 0.09856666666666665 0.001954029682476702
"W3 (WISE)" 11.574998378378377 0.2826666666666667 0.004577925294279058
"W4 (WISE)" 22.0435630882353 0.6883333333333334 0.015462063251713854
"3.6 microns (IRAC)" 3.5520433412322276 0.0905 0.005
"4.5 microns (IRAC)" 4.494639550224888 0.108 0.00598
"5.8 microns (IRAC)" 5.732169369024856 0.146 0.00673
"8.0 microns (IRAC)" 7.86856845144357 0.244 0.00898
"12 microns (IRAS)" 11.99169832 0.306 0.0276
"25 microns (IRAS)" 24.982704833333333 0.763 0.0184
"60 microns (IRAS)" 59.958491599999995 1.5 0.0902
"100 microns (IRAS)" 99.93081933333333 2.36 0.213
"24 microns (MIPS)" 23.60570535433071 0.657 0.00038875313503559044
1.4GHz 214137.47 0.0222 0.0013
