Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.340000123193022e-05 1.0607545e-05
GALEX:NUV 0.23119646641474514 7.480000022042077e-05 8.789198e-06
SDSS:u 0.3519021246126397 0.0007998749933904037 3.8078866e-05
SDSS:g 0.48199694202385923 0.0007947142917795905 7.554469e-05
SDSS:r 0.6246977662012919 0.0008625714274655495 3.2202483e-05
SDSS:i 0.7634912086792645 0.0011571428538965328 5e-05
SDSS:z 0.9017941824088558 0.001202857171717499 5e-05
2MASS:J 1.239016606050587 0.0010908333642873913 0.00017320507
2MASS:H 1.6494770729023385 0.00107749995853131 0.00024248713
2MASS:Ks 2.1637853338145083 0.0011289999936707317 0.0002408319
:=3.6um 3.599986286565157 0.0012799999676644802 3e-05
:=4.5um 4.499969349004068 0.0016199999954551458 3e-05
WISE:W1 3.3500107051067163 0.0012420000392012298 9.486833e-05
WISE:W2 4.600019302768061 0.001710909111848609 0.00012688577
WISE:W3 11.559823320737253 0.006119000026956201 0.0005424943
WISE:W4 22.09066818952177 0.013966666844983896 0.0025632011
"W1 (WISE)" 3.3533831991051453 0.0013100000000000002 3.4565011210760515e-05
"W2 (WISE)" 4.60510688172043 0.0017066666666666664 6.254150621787103e-05
"W3 (WISE)" 11.574998378378377 0.006350000000000001 0.0003621463792446364
"W4 (WISE)" 22.0435630882353 0.013566666666666666 0.0018929344943763903
