Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.000805000017862767 1.8e-05
GALEX:NUV 0.23119646641474512 0.0009210000280290842 1.1e-05
SDSS:g' 0.48199694202385923 0.0016899999463930726 0.00016
SDSS:r' 0.6246977662012919 0.0021299999207258224 0.00021
SDSS:i' 0.7634912086792645 0.003530000103637576 0.00028
2MASS:J 1.239016606050587 0.0035550000223641596 0.00045738387
2MASS:H 1.6494770729023387 0.005486666768168409 0.00075993425
2MASS:Ks 2.163785333814508 0.008505555801093578 0.00089927745
WISE:W1 3.3500107051067167 0.015272727320817385 0.000969536
WISE:W2 4.600019302768061 0.020754545419053597 0.0012688577
WISE:W3 11.559823320737255 0.04538000114262104 0.0022135943
WISE:W4 22.09066818952177 0.125 0.009000001
:=1.4GHz 214137.47 0.006566666532307863 0.001224745
"W1 (WISE)" 3.3533831991051453 0.015233333333333335 0.0003468509333993495
"W2 (WISE)" 4.60510688172043 0.02076666666666667 0.0004185940754478018
"W3 (WISE)" 11.574998378378377 0.04703333333333334 0.00085567867800945
"W4 (WISE)" 22.0435630882353 0.11743333333333333 0.0038945731473423372
"60 microns (IRAS)" 59.958491599999995 0.293 0.0499
1.4GHz 214137.47 0.005 0.0005
