Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.4700000065204222e-05 4.3931764e-06
2MASS:J 1.239016606050587 0.0002739999908953905 9.797959e-05
2MASS:H 1.6494770729023385 0.0004309999931138009 0.00016166632
2MASS:Ks 2.163785333814508 0.0005319999763742089 0.00013962091
WISE:W1 3.3500107051067163 0.0007391999941319227 3.9698865e-05
WISE:W2 4.600019302768061 0.0012259999988600613 6.63325e-05
WISE:W3 11.559823320737255 0.002922500076238066 0.0003104835
WISE:W4 22.090668189521768 0.007129999964187543 0.0019819688
:=1.4GHz 214137.47000000006 0.21799999475479126 0.007
1.4GHz 214137.47 0.218 0.0066
