Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 7.820000064384658e-06 5e-07
SDSS:r' 0.6246977662012919 2.769999991869554e-05 8e-07
SDSS:i' 0.7634912086792645 4.149999949731864e-05 1.1e-06
SDSS:z' 0.9017941824088558 7.590000313939527e-05 4.2e-06
SDSS:u 0.3519021246126397 2.3379999731787393e-06 1.0317461e-06
SDSS:g 0.48199694202385923 6.650500068872134e-06 3.685051e-07
SDSS:r 0.6246977662012919 2.295000024332694e-05 3.6055513e-07
SDSS:i 0.7634912086792645 3.853500004424859e-05 1.9082977e-06
WISE:W1 3.350010705106716 0.00011870000131845397 1.0772651e-05
WISE:W2 4.600019302768061 9.898000098473858e-05 1.7922333e-05
WISE:W3 11.559823320737255 0.00021749999723397195 0.0001467549
:=1.4GHz 214137.47000000003 0.1103333334128062 0.003316625
"W1 (WISE)" 3.3533831991051453 0.0003626666666666667 2.6086969927532785e-05
"W2 (WISE)" 4.60510688172043 0.00022433333333333333 4.0869793246357385e-05
"W3 (WISE)" 11.574998378378377 0.000237 0.000116
1.4GHz 214137.47 0.108 0.0033
