Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.4700000722077675e-05 7.887332e-06
GALEX:NUV 0.23119646641474512 3.6049999835086055e-05 7.1505247e-06
SDSS:u 0.3519021246126397 7.819999882485718e-05 2.2e-06
SDSS:g 0.48199694202385923 8.540000271750614e-05 9e-07
SDSS:r 0.6246977662012919 9.210000280290842e-05 1e-06
SDSS:i 0.7634912086792645 0.00011700000322889537 1e-06
SDSS:z 0.9017941824088558 0.00020799999765586108 5e-06
2MASS:J 1.239016606050587 0.00016599999798927456 0.00010465181
2MASS:H 1.6494770729023387 0.00037900000461377203 0.00017819091
2MASS:Ks 2.163785333814508 0.0002749999985098839 0.00015205263
WISE:W1 3.350010705106716 0.0006311111032523008 4.518064e-05
WISE:W2 4.600019302768061 0.000904499989701435 6.301587e-05
WISE:W3 11.559823320737253 0.0009994999757812668 0.0003101032
WISE:W4 22.090668189521775 0.0017900000093504786 0.00087
