Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0001049999991664663 9e-06
GALEX:NUV 0.23119646641474512 0.0002119999990100041 5e-06
SDSS:g' 0.48199694202385923 0.0009459999855607748 0.000114
SDSS:r' 0.6246977662012919 0.0010100000072270632 0.00014
SDSS:i' 0.7634912086792645 0.0030900000128895044 0.00032
2MASS:J 1.239016606050587 0.00253714295104146 0.00030838288
2MASS:H 1.6494770729023387 0.004455714486539364 0.0005228767
2MASS:Ks 2.1637853338145083 0.007430000230669975 0.0005556078
WISE:W1 3.350010705106716 0.011699999682605267 0.00034641015
WISE:W2 4.600019302768061 0.016899999231100082 0.00051961525
WISE:W3 11.559823320737257 0.03926666577657064 0.0011575837
WISE:W4 22.090668189521768 0.08060000091791153 0.0034073452
:=1.4GHz 214137.47000000003 0.020400000736117363 0.0008
"W1 (WISE)" 3.3533831991051453 0.011733333333333333 0.00025677501825528123
"W2 (WISE)" 4.60510688172043 0.016966666666666668 0.00034078992062559597
"W3 (WISE)" 11.574998378378377 0.0414 0.0008270066505173945
"W4 (WISE)" 22.0435630882353 0.0769 0.0027050508313153747
1.4GHz 214137.47 0.0218 0.0011
