Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00010699999984353781 9e-06
GALEX:NUV 0.23119646641474512 0.00029299999005161226 1.1e-05
SDSS:g' 0.48199694202385923 0.0009379999828524888 1.1e-05
SDSS:r' 0.6246977662012919 0.000838999985717237 8.4e-05
2MASS:J 1.239016606050587 0.0008510000105681163 0.00016102484
2MASS:H 1.6494770729023387 0.0011271428582923754 0.0002660827
2MASS:Ks 2.1637853338145083 0.0013599999947473407 0.00024494898
WISE:W1 3.3500107051067163 0.0027300000190734865 0.00013
WISE:W2 4.600019302768061 0.00406200010329485 0.00016124516
WISE:W3 11.559823320737255 0.007469999976456166 0.00042190045
WISE:W4 22.090668189521768 0.02136666638155778 0.0019697717
:=1.4GHz 214137.47000000006 1.9500000476837158 0.07
"W1 (WISE)" 3.3533831991051453 0.0028299999999999996 6.868049213568581e-05
"W2 (WISE)" 4.60510688172043 0.004129999999999999 8.859949209786702e-05
"W3 (WISE)" 11.574998378378377 0.007766666666666667 0.00043646763912116095
"W4 (WISE)" 22.0435630882353 0.020599999999999997 0.0019911426367791936
1.4GHz 214137.47 1.96 0.0651
