Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00020700000459328294 1e-05
GALEX:NUV 0.23119646641474512 0.00037799999699927866 6e-06
SDSS:g' 0.48199694202385923 0.00171999994199723 1e-05
SDSS:r' 0.6246977662012919 0.0029700000304728746 6e-05
SDSS:i' 0.7634912086792645 0.005040000192821026 0.00022
2MASS:J 1.239016606050587 0.0043000000684211654 0.00066932803
2MASS:H 1.6494770729023385 0.005925000024338563 0.00105
2MASS:Ks 2.163785333814508 0.004588333307765424 0.0007550497
WISE:W1 3.350010705106716 0.01053333313514789 0.0003407345
WISE:W2 4.600019302768061 0.010946666821837425 0.00033526108
WISE:W3 11.559823320737255 0.0487333337465922 0.0011575837
WISE:W4 22.09066818952177 0.13899999856948853 0.0051961527
IRAS:12 11.590213330240468 0.07519999891519547 0.015
IRAS:25 23.88023402899474 0.14999999850988388 0.026925825
IRAS:60 61.849860328856415 0.9094999730587006 0.08045496
IRAS:100 101.94941780588995 1.600000023841858 0.2059126
"2-10 keV (XMM)" 0.00020675341931034483 9.79e-08 1.31e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 2.58e-07 4.3e-08
"12 microns (IRAS)" 11.99169832 0.0752 0.015
"25 microns (IRAS)" 24.982704833333333 0.159 0.00676
"60 microns (IRAS)" 59.958491599999995 0.854 0.0427
"100 microns (IRAS)" 99.93081933333333 1.61 0.177
