Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.2899999496294186e-05 1.2001667e-05
GALEX:NUV 0.23119646641474512 3.859999924316071e-05 9.202174e-06
SDSS:u 0.3519021246126397 7.353333542899539e-05 5.37215e-06
SDSS:g 0.4819969420238593 8.863333156720425e-05 3.1160873e-06
SDSS:r 0.6246977662012919 0.00010800000018207356 3e-06
SDSS:i 0.7634912086792643 0.00010203333416332801 3.8794333e-06
SDSS:z 0.9017941824088558 0.00016599999798927456 8.660254e-06
:=3.6um 3.599986286565157 0.0006200000061653554 1.7e-05
:=4.5um 4.499969349004068 0.0008140000281855464 2.4e-05
WISE:W1 3.350010705106716 0.0005347666738089174 4.101573e-05
WISE:W2 4.600019302768061 0.0008499999894411303 6.393747e-05
WISE:W3 11.559823320737253 0.0017766666909058888 0.00034467378
WISE:W4 22.09066818952177 0.005607999861240387 0.0021717506
"W1 (WISE)" 3.3533831991051453 0.0006566666666666666 3.627271701982083e-05
"W2 (WISE)" 4.60510688172043 0.0008746666666666667 4.682937112539522e-05
"W3 (WISE)" 11.574998378378377 0.0019166666666666666 0.0003359315406448165
"W4 (WISE)" 22.0435630882353 0.00498 0.0029782713106767155
"3.6 microns (IRAC)" 3.5520433412322276 0.000612 1.3604800623309407e-06
"4.5 microns (IRAC)" 4.494639550224888 0.0007895 2.0359027481684876e-06
"5.8 microns (IRAC)" 5.732169369024856 0.001085 5.386139619430599e-06
"8.0 microns (IRAC)" 7.86856845144357 0.001475 9.025835141414893e-06
"24 microns (MIPS)" 23.60570535433071 0.004665 5.660830327787612e-05
