Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00029349999385885894 2.1095024e-05
GALEX:NUV 0.23119646641474512 0.0003555000002961606 1.3892444e-05
SDSS:u 0.3519021246126397 0.0004250000056345016 1.3304135e-05
SDSS:g 0.48199694202385923 0.00046799999836366624 1.3038405e-05
SDSS:r 0.6246977662012919 0.0004605000067385845 7.615773e-06
SDSS:i 0.7634912086792645 0.00041924999823095277 1.3038405e-05
SDSS:z 0.9017941824088558 0.00068450000253506 2.3409399e-05
2MASS:J 1.239016606050587 0.0005290000117383897 0.00013100763
2MASS:H 1.6494770729023387 0.0005910000181756914 0.00021000001
2MASS:Ks 2.1637853338145083 0.00107999995816499 0.00025455846
:=3.6um 3.599986286565157 0.002240000059828162 5e-05
:=4.5um 4.499969349004068 0.0030499999411404133 6e-05
WISE:W1 3.3500107051067163 0.002064285783230194 0.00012409674
WISE:W2 4.600019302768061 0.0031277777678850624 0.00017320509
WISE:W3 11.559823320737253 0.005876666788632671 0.00043692105
WISE:W4 22.09066818952177 0.01028000023216009 0.0024166093
"W1 (WISE)" 3.3533831991051453 0.0021533333333333335 5.4571054598569016e-05
"W2 (WISE)" 4.60510688172043 0.0031666666666666666 8.475576676545378e-05
"W3 (WISE)" 11.574998378378377 0.0059700000000000005 0.00040590762495917713
"W4 (WISE)" 22.0435630882353 0.00966 0.0024492856101320645
