Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.440000000409782e-05 8.745856e-06
GALEX:NUV 0.23119646641474512 8.480000178678893e-05 6.8593004e-06
SDSS:g' 0.48199694202385923 0.002570000011473894 7e-05
SDSS:r' 0.6246977662012919 0.005189999938011169 0.00019
SDSS:i' 0.7634912086792645 0.00773000018671155 0.00031
2MASS:J 1.239016606050587 0.011299999696867806 0.0011401754
2MASS:H 1.6494770729023387 0.015299999820334571 0.0016278821
2MASS:Ks 2.1637853338145083 0.016200000420212746 0.0013416408
WISE:W1 3.3500107051067163 0.01482749983551912 0.0012361634
WISE:W2 4.600019302768061 0.018257499672472477 0.0014005
WISE:W3 11.559823320737253 0.04426166679089268 0.0029455728
WISE:W4 22.090668189521775 0.11536666409422953 0.013019217
"W1 (WISE)" 3.3533831991051453 0.020166666666666666 0.0005640035460881429
"W2 (WISE)" 4.60510688172043 0.024666666666666667 0.0005956315975500292
"W3 (WISE)" 11.574998378378377 0.07076666666666667 0.0015162183220103888
"W4 (WISE)" 22.0435630882353 0.167 0.0059795484779371095
