Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00022099999769125133 2.1494185e-05
GALEX:NUV 0.23119646641474514 0.00018160000327043234 1.3892444e-05
SDSS:u 0.3519021246126397 0.00025099999038502574 3.6055512e-06
SDSS:g 0.48199694202385923 0.00023850000434322283 2.236068e-06
SDSS:r 0.6246977662012919 0.0002494999935152009 2.236068e-06
SDSS:i 0.7634912086792646 0.0003139999898849055 2.8284271e-06
SDSS:z 0.9017941824088558 0.00031999999191612005 5e-06
2MASS:J 1.239016606050587 0.0002699999895412475 0.00010053854
2MASS:H 1.6494770729023385 0.00046300000394694507 0.00016403658
2MASS:Ks 2.163785333814508 0.0006900000153109431 0.00016668232
:=3.6um 3.599986286565157 0.0017600000137463212 4e-05
:=4.5um 4.499969349004068 0.002309999894350767 5e-05
WISE:W1 3.350010705106716 0.0016614285996183753 0.000105830055
WISE:W2 4.600019302768061 0.002375000069150701 0.00013266498
WISE:W3 11.559823320737253 0.0034542856737971306 0.00031016127
WISE:W4 22.090668189521775 0.007586666693290074 0.0020622318
