Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.7566666429047473e-05 6.8366658e-06
GALEX:NUV 0.23119646641474512 3.233333275905655e-05 5.7148927e-06
SDSS:u 0.3519021246126397 5.3614285986571175e-05 5.4781385e-06
SDSS:g 0.48199694202385923 7.136666681617498e-05 2.9816104e-06
SDSS:r 0.6246977662012919 8.983333342863868e-05 3.940812e-06
SDSS:i 0.7634912086792645 0.00011416666529839858 4.582576e-06
SDSS:z 0.9017941824088558 0.0001766666682669893 1.4764823e-05
2MASS:J 1.239016606050587 0.00027400001029794413 0.00013394775
2MASS:H 1.6494770729023385 0.00035999999575627345 0.00011720495
WISE:W1 3.350010705106716 0.0006158571424228805 3.938274e-05
WISE:W2 4.600019302768061 0.0007517142886562007 5.4221764e-05
WISE:W3 11.559823320737253 0.001500000013038516 0.00029393876
WISE:W4 22.09066818952177 0.006174000073224306 0.0016593072
