Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.3799999073380604e-05 4.2190045e-06
GALEX:NUV 0.23119646641474512 8.859999798005447e-05 5.185557e-06
2MASS:J 1.239016606050587 0.00019999999494757503 0.0001137673
2MASS:H 1.6494770729023385 0.00024300000222865492 0.00018784835
2MASS:Ks 2.163785333814508 0.0003589999978430569 0.00019800251
WISE:W1 3.350010705106716 0.001045000011799857 5.8309517e-05
WISE:W2 4.600019302768061 0.001731111137713823 0.00010816653
WISE:W3 11.559823320737253 0.0036142857279628515 0.00043931766
WISE:W4 22.090668189521775 0.007976666713754335 0.00250088
"W1 (WISE)" 3.3533831991051453 0.0010666666666666665 3.860362677262332e-05
"W2 (WISE)" 4.60510688172043 0.0017566666666666668 5.7973183455801354e-05
"W3 (WISE)" 11.574998378378377 0.0036800000000000005 0.0003981004898263754
"W4 (WISE)" 22.0435630882353 0.007189999999999999 0.002398666296090392
