Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.002420000033453107 0.00011
SDSS:r' 0.6246977662012919 0.0036299999337643385 0.00021
SDSS:i' 0.7634912086792645 0.005419999826699495 4e-05
SDSS:u 0.3519021246126397 0.0014700000174343586 1e-05
SDSS:g 0.48199694202385923 0.002850000048056245 1e-05
SDSS:r 0.6246977662012919 0.004720000084489584 1e-05
SDSS:i 0.7634912086792645 0.00675999978557229 1e-05
SDSS:z 0.9017941824088558 0.00848000030964613 2e-05
2MASS:J 1.239016606050587 0.0038039999082684515 0.00080950605
2MASS:H 1.6494770729023385 0.00514400009997189 0.0013866867
2MASS:Ks 2.1637853338145083 0.005539999809116125 0.0007975588
WISE:W1 3.350010705106716 0.012679999880492687 0.0006708204
WISE:W2 4.600019302768061 0.01541999988257885 0.0006708204
WISE:W3 11.559823320737253 0.03888000100851059 0.0013416408
WISE:W4 22.090668189521775 0.09009999781847 0.005921148
"W1 (WISE)" 3.3533831991051453 0.013133333333333335 0.0002783685506661986
"W2 (WISE)" 4.60510688172043 0.015666666666666666 0.0003096804159129214
"W3 (WISE)" 11.574998378378377 0.041 0.0008457156732614099
"W4 (WISE)" 22.0435630882353 0.08436666666666666 0.0037940084343606826
