Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 5.8999999055231456e-06 9.4e-07
GALEX:NUV 0.23119646641474512 1.183333339819607e-05 3.6986485e-06
SDSS:u 0.3519021246126396 3.6970000292058105e-05 3.5805028e-06
SDSS:g 0.48199694202385934 4.651111157727428e-05 2.4474475e-06
SDSS:r 0.6246977662012919 7.068888872810121e-05 2.9883106e-06
SDSS:i 0.7634912086792643 0.00010016666783485562 4.609772e-06
SDSS:z 0.9017941824088559 0.00013814285713514046 1.1401754e-05
2MASS:J 1.239016606050587 0.0002001999950152822 0.00014546477
2MASS:H 1.6494770729023387 0.00025340001157019286 0.00020207177
2MASS:Ks 2.1637853338145083 0.000555124985112343 0.00025986342
WISE:W1 3.3500107051067163 0.0004213636328296905 3.947151e-05
WISE:W2 4.600019302768061 0.0004400000007907775 5.692978e-05
WISE:W3 11.559823320737253 0.0007492999837268143 0.00039242196
WISE:W4 22.09066818952177 0.00208749997545965 0.0011625834
"W1 (WISE)" 3.3533831991051453 0.00045499999999999995 2.972911031295757e-05
"W2 (WISE)" 4.60510688172043 0.0004526666666666667 5.163380675487718e-05
"W3 (WISE)" 11.574998378378377 0.0008636666666666667 0.0002703368269400231
"W4 (WISE)" 22.0435630882353 0.003375 0.0013304093355054301
