Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 2.069999936793465e-05 1.4e-06
SDSS:g' 0.48199694202385923 3.229999856557697e-05 1e-06
SDSS:r' 0.6246977662012919 3.149999974993989e-05 1.1e-06
SDSS:i' 0.7634912086792645 3.730000025825575e-05 1.1e-06
SDSS:z' 0.9017941824088558 4.059999992023222e-05 3.7e-06
SDSS:u 0.35190212461263964 2.0522221752293666e-05 3.8652297e-06
SDSS:g 0.4819969420238593 3.10124994484795e-05 1.9104973e-06
SDSS:r 0.6246977662012919 3.0187499078238034e-05 2.8319603e-06
SDSS:i 0.7634912086792643 3.631250046964851e-05 2.9748949e-06
SDSS:z 0.9017941824088559 3.953749910579063e-05 9.894443e-06
:=3.6um 3.599986286565157 0.00012099999730708078 6e-06
:=4.5um 4.499969349004068 0.00011100000119768083 1.1e-05
WISE:W1 3.3500107051067163 0.0001356666681304988 2.0124611e-05
WISE:W2 4.600019302768061 0.00012533333372428187 3.6414283e-05
WISE:W4 22.090668189521775 0.003590000094845891 0.00018
"W1 (WISE)" 3.3533831991051453 0.00022999999999999998 2.9959354131890095e-05
"W2 (WISE)" 4.60510688172043 0.00016466666666666667 3.528781659439983e-05
