Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.6199999410891905e-05 6.9296466e-06
GALEX:NUV 0.23119646641474512 3.804999869316816e-05 4.6669047e-06
SDSS:u 0.3519021246126397 5.667500045092311e-05 5e-06
SDSS:g 0.4819969420238593 6.828571349615231e-05 4.4732537e-06
SDSS:r 0.6246977662012919 6.305714175271402e-05 2.8548204e-06
SDSS:i 0.7634912086792643 7.129999825597874e-05 4.7592016e-06
SDSS:z 0.9017941824088558 9.038571339000814e-05 1.0991361e-05
:=3.6um 3.599986286565157 0.00021699999342672527 8e-06
:=4.5um 4.499969349004068 0.0002770000137388706 1.3e-05
WISE:W1 3.3500107051067163 0.00020379999914439396 2.1095022e-05
WISE:W2 4.600019302768061 0.0002875999984098598 3.850974e-05
WISE:W3 11.559823320737255 0.0008092499920167029 0.00029875242
WISE:W4 22.090668189521775 0.002445714282138007 0.0019867308
