Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.0279999919002876e-05 2.5786043e-05
GALEX:NUV 0.23119646641474514 0.00039328571334148625 2.4248711e-05
SDSS:g' 0.48199694202385923 0.0003640000068116933 2.6e-05
SDSS:u 0.3519021246126397 0.00037649999649147503 4.738143e-05
SDSS:g 0.48199694202385923 0.0005088750040158629 5.423099e-05
SDSS:r 0.6246977662012919 0.00055187498946907 4.30581e-05
SDSS:i 0.7634912086792645 0.0004780000017490238 2.740438e-05
SDSS:z 0.9017941824088558 0.0005528749970835634 4.137632e-05
2MASS:J 1.239016606050587 0.0006070000235922635 0.00013155988
2MASS:H 1.6494770729023387 0.00044100001105107367 0.00019606121
2MASS:Ks 2.1637853338145083 0.00042100000428035855 0.0002063686
:=3.6um 3.599986286565157 0.001180000021122396 3e-05
:=4.5um 4.499969349004068 0.00171999994199723 4e-05
WISE:W1 3.350010705106717 0.0011008332949131727 0.00016941075
WISE:W2 4.600019302768061 0.0018071428473506654 0.00026305893
WISE:W3 11.559823320737253 0.00410999988459728 0.00060597033
WISE:W4 22.09066818952177 0.010217000055126846 0.0028290635
:=1.4GHz 214137.47000000003 0.20999999344348907 0.008
"W1 (WISE)" 3.3533831991051453 0.0011599999999999998 3.369792278464653e-05
"W2 (WISE)" 4.60510688172043 0.0018166666666666667 5.4490457880256424e-05
"W3 (WISE)" 11.574998378378377 0.00441 0.00027031278179176065
"W4 (WISE)" 22.0435630882353 0.00987 0.001995720421301541
1.4GHz 214137.47 0.212 0.0075
