Filter Wave Flux F_er
SDSS:u 0.3519021246126397 5.189999865251593e-05 1.6e-06
SDSS:g 0.48199694202385923 0.0003220000071451068 1e-06
SDSS:r 0.6246977662012919 0.0006419999990612268 2e-06
SDSS:i 0.7634912086792645 0.0008069999748840928 4e-06
SDSS:z 0.9017941824088558 0.0009040000149980187 7e-06
2MASS:J 1.239016606050587 0.0009210000280290842 8.550438e-05
2MASS:H 1.649477072902339 0.0008570000063627958 0.000138
2MASS:Ks 2.163785333814508 0.0007730000070296228 0.000142
WISE:W1 3.350010705106716 0.0003260000084992498 3e-06
WISE:W2 4.600019302768061 0.00015900000289548188 5e-06
