Filter Wave Flux F_er
GALEX:FUV 0.15290072831131735 3.3779230538864513e-06 2.8023435e-06
GALEX:NUV 0.23119646641474517 5.316566547245808e-06 2.7257454e-06
SDSS:u' 0.3519021246126397 8.236666417360539e-06 1.2146605e-06
SDSS:g' 0.48199694202385923 1.0146666681976058e-05 4.2e-07
SDSS:r' 0.6246977662012919 1.3766666597803123e-05 8.124038e-07
SDSS:i' 0.7634912086792646 2.0700000277429353e-05 1.2041595e-06
SDSS:z' 0.9017941824088558 2.390000008745119e-05 4.808326e-06
SDSS:u 0.3519021246126397 7.127339757317941e-06 1.9848508e-06
SDSS:g 0.48199694202385923 6.954333301223414e-06 8.388522e-07
SDSS:r 0.6246977662012919 9.687500001594648e-06 1.3440495e-06
SDSS:i 0.7634912086792643 1.3279167018727852e-05 2.0426914e-06
SDSS:z 0.9017941824088558 1.9966666513937525e-05 7.278736e-06
2MASS:J 1.239016606050587 3.400000059627928e-05 3e-07
2MASS:Ks 2.163785333814508 5.9699999837903306e-05 5e-07
:=3.6um 3.599986286565157 0.00011999999696854502 4e-06
:=4.5um 4.499969349004068 0.0001140000022132881 3e-06
WISE:W1 3.3500107051067163 0.00010393999982625247 1.1269427e-05
WISE:W2 4.600019302768061 8.876000210875646e-05 2.01184e-05
WISE:W3 11.559823320737255 0.0003279999946244061 0.000122
Spitzer/MIPS:24 23.674678828081813 0.0006421555324575618 4.5065175e-05
Spitzer/MIPS:70 71.41996807699637 0.0083600003272295 0.0019
Spitzer/MIPS:160 155.8983140925637 0.03359999880194664 0.0108
Herschel/PACS:100 100.00081990726842 0.015450000064447522 0.0036674242
Herschel/PACS:160 160.0002444361424 0.022124999668449163 0.007979348
Herschel/SPIRE:250 249.99371080720482 0.02500000037252903 0.0007
Herschel/SPIRE:350 362.9976001356129 0.021199999377131462 0.0015
Herschel/SPIRE:500 516.9994274578785 0.012600000016391277 0.0012
:=250um 249.99371080720482 0.025299999862909317 0.0241
:=350um 349.99995096608495 0.019899999722838402 0.0176
:=500um 499.99576043629816 0.007079999893903732 0.0009
:=1.4GHz 214137.47000000006 8.850000085658394e-05 2.1213204e-05
:=20cm 199994.96864576385 9.000000136438757e-05 1.4142135e-05
"0.5-2 keV (XMM)" 0.0009926902582781457 1.0485e-09 2.192008211663451e-10
"W1 (WISE)" 3.3533831991051453 0.00018633333333333335 3.2064355599325556e-05
"W2 (WISE)" 4.60510688172043 0.00012256666666666667 3.880373693344495e-05
"3.6 microns (IRAC)" 3.5520433412322276 0.006416666666666667 1.0007105725433304e-05
"4.5 microns (IRAC)" 4.494639550224888 0.006448 1.0015939296940652e-05
"5.8 microns (IRAC)" 5.732169369024856 0.0064853333333333325 1.021303578765883e-05
"8.0 microns (IRAC)" 7.868568451443569 0.0064393333333333325 2.0296743581175776e-05
"24 microns (MIPS)" 23.60570535433071 0.001095 1.669730517179344e-05
