Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.65999993745936e-06 8.4e-07
GALEX:NUV 0.23119646641474512 1.2400000287016155e-05 2.118962e-06
SDSS:u' 0.3519021246126397 3.429999924264848e-05 1.6e-06
SDSS:g' 0.48199694202385923 5.32000012753997e-05 1.4e-06
SDSS:r' 0.6246977662012919 6.049999865354039e-05 9e-07
SDSS:i' 0.7634912086792646 7.619999814778566e-05 1.3e-06
SDSS:z' 0.9017941824088558 7.580000237794593e-05 3.2e-06
SDSS:u 0.35190212461263964 3.3577777180148085e-05 3.5256205e-06
SDSS:g 0.48199694202385934 4.925000021103187e-05 2.8548204e-06
SDSS:r 0.6246977662012919 6.099999973230297e-05 2.3452078e-06
SDSS:i 0.7634912086792643 7.651250052731484e-05 3.7762416e-06
SDSS:z 0.9017941824088559 7.718750021012966e-05 8.774395e-06
2MASS:H 1.6494770729023385 0.00023999999393709004 9.3338094e-05
:=3.6um 3.599986286565157 0.00013600000238511711 6e-06
:=4.5um 4.499969349004068 0.00016900000628083944 1.1e-05
WISE:W1 3.3500107051067167 0.00012874999568642428 2.2203603e-05
WISE:W2 4.600019302768061 0.00018074999752570875 3.9610604e-05
WISE:W3 11.559823320737255 0.0005575555713019437 0.00034634376
WISE:W4 22.09066818952177 0.0021699999924749136 0.0017003529
"W1 (WISE)" 3.3533831991051453 0.0002976666666666667 2.341426915365927e-05
"W2 (WISE)" 4.60510688172043 0.00035200000000000005 4.239882073831771e-05
"W3 (WISE)" 11.574998378378377 0.0009233333333333333 0.0003308201928540639
"W4 (WISE)" 22.0435630882353 0.0029666666666666665 0.0019745926162122655
