Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 8.553333221546684e-05 1.3616534e-05
GALEX:NUV 0.23119646641474512 9.603333455743268e-05 1.0044401e-05
SDSS:u 0.3519021246126397 0.00024500000290572643 4e-06
SDSS:g 0.48199694202385923 0.0004490000137593597 2e-06
SDSS:r 0.6246977662012919 0.0006880000000819564 3e-06
SDSS:i 0.7634912086792645 0.0009899999713525176 4e-06
SDSS:z 0.9017941824088558 0.00107999995816499 1e-05
2MASS:J 1.239016606050587 0.0007639999967068434 0.0001904941
2MASS:H 1.6494770729023385 0.0010499999625608325 0.00023811765
2MASS:Ks 2.163785333814508 0.001230000052601099 0.00026457512
WISE:W1 3.350010705106716 0.0010818749651662074 7.36546e-05
WISE:W2 4.600019302768061 0.0014571428764611483 9.848858e-05
WISE:W3 11.559823320737253 0.004213333285103242 0.00041641327
WISE:W4 22.090668189521775 0.015300000086426735 0.0030232435
