Filter Wave Flux F_er
SDSS:u 0.3519021246126397 2.811666642325387e-05 3.5298726e-06
SDSS:g 0.48199694202385934 9.360999974887818e-05 2.8530685e-06
SDSS:r 0.6246977662012919 0.0002696666682216649 4.242641e-06
SDSS:i 0.7634912086792643 0.00036666666629672464 6.708204e-06
SDSS:z 0.901794182408856 0.0003825000021606684 1.3038405e-05
2MASS:J 1.239016606050587 0.0005822499952046201 0.0001680119
2MASS:H 1.6494770729023387 0.0009616249735699967 0.0002688364
2MASS:Ks 2.1637853338145083 0.0017900000093504786 0.00024494898
WISE:W1 3.350010705106716 0.00433500010209779 0.00018973667
WISE:W2 4.600019302768061 0.007544999942183495 0.00028965497
WISE:W3 11.559823320737255 0.02449999935925007 0.0008
WISE:W4 22.09066818952177 0.10199999809265137 0.0034641018
:=1.4GHz 214137.47000000003 0.004619999788701534 0.00014
"W1 (WISE)" 3.3533831991051453 0.00435 0.00010146506788052724
"W2 (WISE)" 4.60510688172043 0.007593333333333334 0.00015480536166425247
"W3 (WISE)" 11.574998378378377 0.025900000000000003 0.0005662773172218714
"W4 (WISE)" 22.0435630882353 0.0948 0.003079042058822841
1.4GHz 214137.47 0.0072 0.0006
