Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 7.696666580159217e-05 1.154816e-05
GALEX:NUV 0.23119646641474512 8.883333309010293e-05 8.374365e-06
SDSS:u 0.35190212461263964 8.424999850831227e-05 6.051446e-06
SDSS:g 0.48199694202385934 0.00010357142725427235 3.6055512e-06
SDSS:r 0.6246977662012919 8.944285634372915e-05 3.3045424e-06
SDSS:i 0.7634912086792643 0.00010742857141719599 5e-06
SDSS:z 0.9017941824088559 0.00012314285725421672 1.0583005e-05
2MASS:H 1.6494770729023385 0.0003719999998187025 0.00013106105
2MASS:Ks 2.163785333814508 0.0003090000100200996 0.00010606602
WISE:W1 3.350010705106716 0.00017244444461539388 1.7088008e-05
WISE:W2 4.600019302768061 0.00024766666400763724 2.9647934e-05
WISE:W3 11.559823320737255 0.0005987500044284388 0.00022732576
WISE:W4 22.090668189521775 0.002447142930967467 0.0015699045
