Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.340000017080456e-05 6.8066142e-06
GALEX:NUV 0.23119646641474514 2.660000063769985e-05 7.736924e-06
SDSS:u 0.35190212461263964 4.698888814244937e-05 4.5847573e-06
SDSS:g 0.4819969420238593 6.337500144582009e-05 4.0484565e-06
SDSS:r 0.6246977662012919 7.00625014360412e-05 3.2155872e-06
SDSS:i 0.7634912086792643 8.796250040177256e-05 4.3806394e-06
SDSS:z 0.9017941824088559 9.899999986373587e-05 1.0733592e-05
2MASS:Ks 2.163785333814508 0.00041000000783242285 8.8e-05
:=3.6um 3.599986286565157 0.0003060000017285347 1e-05
:=4.5um 4.499969349004068 0.00036800000816583633 1.6e-05
WISE:W1 3.3500107051067167 0.0003103333316782179 3.2649656e-05
WISE:W2 4.600019302768061 0.0003890833371163656 5.943904e-05
WISE:W3 11.559823320737255 0.0006818888941779733 0.0005890229
WISE:W4 22.09066818952177 0.00271333334967494 0.0011950313
"W1 (WISE)" 3.3533831991051453 0.0005016666666666666 3.279485325474106e-05
"W2 (WISE)" 4.60510688172043 0.000443 8.683063975348794e-05
"W3 (WISE)" 11.574998378378377 0.0008035 0.0003431573982883073
