Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.496666709504401e-05 1.0572133e-05
GALEX:NUV 0.23119646641474512 5.6224999752885196e-05 9.74423e-06
SDSS:u' 0.3519021246126397 4.650000118999742e-05 2.1e-06
SDSS:g' 0.48199694202385923 5.279999822960235e-05 8e-07
SDSS:r' 0.6246977662012919 9.31999966269359e-05 1.3e-06
SDSS:i' 0.7634912086792645 0.00012099999730708078 2e-06
SDSS:z' 0.9017941824088558 0.0001880000054370612 7e-06
WISE:W1 3.350010705106716 0.00040266666231521714 2.3e-05
WISE:W2 4.600019302768061 0.00041683333499046665 3.1176914e-05
WISE:W3 11.559823320737255 0.0006130000110715628 0.00020961871
WISE:W4 22.09066818952177 0.001820000004954636 0.0010748024
