Filter Wave Flux F_er
SDSS:u 0.3519021246126397 4.323333268985152e-05 4.925444e-06
SDSS:g 0.48199694202385923 0.00019237142467838048 3.3941126e-06
SDSS:r 0.6246977662012919 0.00044388570989082964 5.0358717e-06
SDSS:i 0.7634912086792645 0.0005822857222353507 6.7082037e-06
SDSS:z 0.9017941824088558 0.0008207500068238005 1.9157244e-05
2MASS:J 1.239016606050587 0.0005970000056549907 0.0001445199
2MASS:H 1.6494770729023385 0.0006699999794363976 0.00020575714
2MASS:Ks 2.163785333814508 0.0006799999973736703 0.00023270154
:=4.5um 4.499969349004068 0.0005409999866969883 7e-06
WISE:W1 3.3500107051067163 0.000452200003201142 2.922328e-05
WISE:W2 4.600019302768061 0.0002600400046503637 3.1294727e-05
