Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.6300000172341242e-05 8.923004e-06
GALEX:NUV 0.23119646641474514 2.8219999876455404e-05 7.206941e-06
SDSS:u 0.3519021246126397 6.230000144569203e-05 3.2e-06
SDSS:g 0.48199694202385923 8.499999967170879e-05 1.2e-06
SDSS:r 0.6246977662012919 0.00013699999544769526 2e-06
SDSS:i 0.7634912086792645 0.00019500000053085387 3e-06
SDSS:z 0.9017941824088558 0.00020500000391621143 1e-05
2MASS:J 1.239016606050587 0.00014699999883305281 9.6e-05
2MASS:H 1.6494770729023387 0.00024300000222865492 0.000138
2MASS:Ks 2.1637853338145083 0.0004290000069886446 0.00021778888
WISE:W1 3.350010705106716 0.0003366666690756877 2.5690466e-05
WISE:W2 4.600019302768061 0.0003571666602510959 3.7960508e-05
WISE:W3 11.559823320737255 0.0004074000113178045 0.00027732653
